コード,銘柄名
3353,メディカル一光グループ
3355,クリヤマホールディングス
3358,ワイエスフード
3359,ｃｏｔｔａ
3360,シップヘルスケアホールディングス
3361,トーエル
3370,フジタコーポレーション
3371,ソフトクリエイトホールディングス
3372,関門海
3374,内外テック
3375,ＺＯＡ
3377,バイク王＆カンパニー
3382,セブン＆アイ・ホールディングス
3386,コスモ・バイオ
3387,クリエイト・レストランツ・ホールディングス
3388,明治電機工業
3391,ツルハホールディングス
3392,デリカフーズホールディングス
3393,スターティアホールディングス
3395,サンマルクホールディングス
3396,フェリシモ
3397,トリドールホールディングス
3399,丸千代山岡家
3401,帝人
3402,東レ
3405,クラレ
3407,旭化成
3409,北紡
3415,ＴＯＫＹＯ　ＢＡＳＥ
3416,ピクスタ
3417,大木ヘルスケアホールディングス
3418,バルニバービ
3420,ケー・エフ・シー
3421,稲葉製作所
3422,Ｊ－ＭＡＸ
3423,エスイー
3426,アトムリビンテック
3431,宮地エンジニアリンググループ
3433,トーカロ
3434,アルファＣｏ
3435,サンコーテクノ
3436,ＳＵＭＣＯ
3437,特殊電極
3439,三ツ知
3440,日創グループ
3441,山王
3443,川田テクノロジーズ
3444,菊池製作所
3445,ＲＳ　Ｔｅｃｈｎｏｌｏｇｉｅｓ
3446,ジェイテックコーポレーション
3447,信和
3448,清鋼材
3449,テクノフレックス
3450,サトウ産業
3451,トーセイ・リート投資法人
3452,ビーロット
3454,ファーストブラザーズ
3455,ヘルスケア＆メディカル投資法人
3457,Ａｎｄ　Ｄｏホールディングス
3459,サムティ・レジデンシャル投資法人
3461,パルマ
3462,野村不動産マスターファンド投資法人
3463,いちごホテルリート投資法人
3465,ケイアイスター不動産
3466,ラサールロジポート投資法人
3467,アグレ都市デザイン
3468,スターアジア不動産投資法人
3469,デュアルタップ
3470,マリモ地方創生リート投資法人
3471,三井不動産ロジスティクスパーク投資法人
3472,日本ホテル＆レジデンシャル投資法人
3474,Ｇ－ＦＡＣＴＯＲＹ
3475,グッドコムアセット
3476,投資法人みらい
3477,フォーライフ
3479,ティーケーピー
3480,ジェイ・エス・ビー
3481,三菱地所物流リート投資法人
3482,ロードスターキャピタル
3483,翔栄
3484,イノベーションホールディングス
3486,グローバル・リンク・マネジメント
3487,ＣＲＥロジスティクスファンド投資法人
3488,ザイマックス・リート投資法人
3489,フェイスネットワーク
3490,アズ企画設計
3491,ＧＡ　ｔｅｃｈｎｏｌｏｇｉｅｓ
3492,タカラレーベン不動産投資法人
3494,マリオン
3495,香陵住販
3496,アズーム
3498,霞ヶ関キャピタル
3501,ＳＵＭＩＮＯＥ
3512,日本フエルト
3513,イチカワ
3521,エコナックホールディングス
3524,日東製網
3526,芦森工業
3529,アツギ
3536,アクサスホールディングス
3537,昭栄薬品
3538,ウイルプラスホールディングス
3539,ＪＭホールディングス
3540,歯愛メディカル
3541,農業総合研究所
3542,ベガコーポレーション
3543,コメダホールディングス
3544,サツドラホールディングス
3546,アレンザホールディングス
3547,串カツ田中ホールディングス
3548,バロックジャパンリミテッド
3549,クスリのアオキホールディングス
3550,スタジオアタオ
3551,ダイニック
3553,共和レザー
3556,リネットジャパングループ
3557,ユナイテッド＆コレクティブ
3558,ジェイドグループ
3559,ピーバンドットコム
3560,ほぼ日
3561,力の源ホールディングス
3562,Ｎｏ．１
3563,ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭＰＡＮＩＥＳ
3565,アセンテック
3566,ユニフォームネクスト
3569,セーレン
3571,ソトー
3577,東海染工
3580,小松マテーレ
3583,オーベクス
3591,ワコールホールディングス
3593,ホギメディカル
3597,自重堂
3598,山喜
3600,フジックス
3607,クラウディアホールディングス
3608,ＴＳＩホールディングス
3611,マツオカコーポレーション
3612,ワールド
3622,ネットイヤーグループ
3623,ビリングシステム
3624,アクセルマーク
3625,テックファームホールディングス
3626,ＴＩＳ
3627,テクミラホールディングス
3628,データホライゾン
3632,グリーホールディングス
3633,ＧＭＯペパボ
3634,ソケッツ
3635,コーエーテクモホールディングス
3636,三菱総合研究所
3639,ボルテージ
3640,電算
3641,パピレス
3645,メディカルネット
3646,駅探
3647,ジー・スリーホールディングス
3648,ＡＧＳ
3649,ファインデックス
3652,ディジタルメディアプロフェッショナル
3653,モルフォ
3655,ブレインパッド
3656,ＫＬａｂ
3657,ポールトゥウィンホールディングス
3659,ネクソン
3660,アイスタイル
3661,エムアップホールディングス
3662,エイチームホールディングス
3663,セルシス
3664,モブキャストホールディングス
3665,エニグモ
3667,ｅｎｉｓｈ
3668,コロプラ
3670,協立情報通信
3671,ソフトマックス
3672,オルトプラス
3673,ブロードリーフ
3674,オークファン
3675,クロス・マーケティンググループ
3676,デジタルハーツホールディングス
3678,メディアドゥ
3679,じげん
3680,ホットリンク
3681,ブイキューブ
3682,エンカレッジ・テクノロジ
3683,サイバーリンクス
3686,ディー・エル・イー
3687,フィックスターズ
3688,ＣＡＲＴＡ　ＨＯＬＤＩＮＧＳ
3690,イルグルム
3691,デジタルプラス
3692,ＦＦＲＩセキュリティ
3694,オプティム
3695,ＧＭＯリサーチ＆ＡＩ
3696,セレス
3697,ＳＨＩＦＴ
3698,ＣＲＩ・ミドルウェア
3708,特種東海製紙
3710,ジョルダン
3712,情報企画
3719,ＡＩストーム
3723,日本ファルコム
3726,フォーシーズＨＤ
3727,アプリックス
3733,ソフトウェア・サービス
3741,セック
3744,サイオス
3747,インタートレード
3750,ＡＤＲ１２０Ｓ
3753,フライトソリューションズ
3758,アエリア
3760,ケイブ
3762,テクマトリックス
3763,プロシップ
3765,ガンホー・オンライン・エンターテイメント
3766,システムズ・デザイン
3768,リスクモンスター
3769,ＧＭＯペイメントゲートウェイ
3770,ザッパラス
3771,システムリサーチ
3772,ウェルス・マネジメント
3773,アドバンスト・メディア
3774,インターネットイニシアティブ
3776,ブロードバンドタワー
3777,環境フレンドリーホールディングス
3778,さくらインターネット
3779,ジェイ・エスコムホールディングス
3787,テクノマセマティカル
3788,ＧＭＯグローバルサイン・ホールディングス
3791,ＩＧポート
3793,ドリコム
3796,いい生活
3798,ＵＬＳグループ
3799,キーウェアソリューションズ
3800,ユニリタ
3802,エコミック
3803,イメージ情報開発
3804,システム　ディ
3807,フィスコ
3810,サイバーステップ
3815,メディア工房
3816,大和コンピューター
3817,ＳＲＡホールディングス
3823,ＴＨＥ　ＷＨＹ　ＨＯＷ　ＤＯ　ＣＯＭＰＡＮＹ
3825,リミックスポイント
3826,システムインテグレータ
3834,朝日ネット
3835,ｅＢＡＳＥ
3836,アバントグループ
3837,アドソル日進
3839,ＯＤＫソリューションズ
3840,パス
3841,ジーダット
3842,ネクストジェン
3843,フリービット
3844,コムチュア
3845,アイフリークモバイル
3847,パシフィックシステム
3848,データ・アプリケーション
3850,エヌ・ティ・ティ・データ・イントラマート
3851,日本一ソフトウェア
3853,アステリア
3854,アイル
3856,Ａｂａｌａｎｃｅ
3858,ユビキタスＡＩ
3861,王子ホールディングス
3863,日本製紙
3864,三菱製紙
3865,北越コーポレーション
3877,中越パルプ工業
3878,巴川コーポレーション
3880,大王製紙
3891,ニッポン高度紙工業
3892,岡山製紙
3895,ハビックス
3896,阿波製紙
3900,クラウドワークス
3901,マークラインズ
3902,メディカル・データ・ビジョン
3903,ｇｕｍｉ
3904,カヤック
3905,データセクション
3907,シリコンスタジオ
3908,コラボス
3909,ショーケース
3910,エムケイシステム
3911,Ａｉｍｉｎｇ
3912,モバイルファクトリー
3913,ＧｒｅｅｎＢｅｅ
3914,ＪＩＧ－ＳＡＷ
3915,テラスカイ
3916,デジタル・インフォメーション・テクノロジー
3917,アイリッジ
3918,ＰＣＩホールディングス
3920,アイビーシー
3921,ネオジャパン
3922,ＰＲ　ＴＩＭＥＳ
3923,ラクス
3924,ランドコンピュータ
3925,ダブルスタンダード
3926,オープンドア
3927,フーバーブレイン
3928,マイネット
3929,ソーシャルワイヤー
3930,はてな
3931,バリューゴルフ
3932,アカツキ
3933,チエル
3934,ベネフィットジャパン
3935,エディア
3936,グローバルウェイ
3937,Ｕｂｉｃｏｍホールディングス
3939,カナミックネットワーク
3940,ノムラシステムコーポレーション
3941,レンゴー
3943,大石産業
3944,古林紙工
3945,スーパーバッグ
3946,トーモク
3947,ダイナパック
3948,光ビジネスフォーム
3950,ザ・パック
3951,朝日印刷
3953,大村紙業
3954,昭和パックス
3955,イムラ
3958,笹徳印刷
3961,シルバーエッグ・テクノロジー
3962,チェンジホールディングス
3963,シンクロ・フード
3964,オークネット
3965,キャピタル・アセット・プランニング
3967,エルテス
3968,セグエグループ
3969,エイトレッド
3970,イノベーション
3974,ＳＣＡＴ
3976,シャノン
3979,うるる
3981,ビーグリー
3983,オロ
3984,ユーザーローカル
3985,テモナ
3986,ビーブレイクシステムズ
3987,エコモット
3988,ＳＹＳホールディングス
3989,シェアリングテクノロジー
3991,ウォンテッドリー
3992,ニーズウェル
3993,ＰＫＳＨＡ　Ｔｅｃｈｎｏｌｏｇｙ
3994,マネーフォワード
3996,サインポスト
3997,トレードワークス
3998,すららネット
4004,レゾナック・ホールディングス
4005,住友化学
4008,住友精化
4011,ヘッドウォータース
4012,アクシス
4013,勤次郎
4014,カラダノート
4015,ペイクラウドホールディングス
4016,ＭＩＴホールディングス
4017,クリーマ
4019,スタメン
4020,ビートレンド
4021,日産化学
4022,ラサ工業
4023,クレハ
4025,多木化学
4026,神島化学工業
4027,テイカ
4028,石原産業
4031,片倉コープアグリ
4040,南海化学
4041,日本曹達
4042,東ソー
4043,トクヤマ
4044,セントラル硝子
4045,東亞合成
4046,大阪ソーダ
4047,関東電化工業
4051,ＧＭＯフィナンシャルゲート
4052,フィーチャ
4053,Ｓｕｎ　Ａｓｔｅｒｉｓｋ
4054,日本情報クリエイト
4055,ティアンドエスグループ
4056,ニューラルグループ
4057,インターファクトリー
4058,トヨクモ
4059,まぐまぐ
4060,ｒａｋｕｍｏ
4061,デンカ
4062,イビデン
4063,信越化学工業
4064,日本カーバイド工業
4068,ベイシス
4069,ＢｌｕｅＭｅｍｅ
4071,プラスアルファ・コンサルティング
4072,電算システムホールディングス
4073,ジィ・シィ企画
4074,ラキール
4075,ブレインズテクノロジー
4076,シイエヌエス
4078,堺化学工業
4080,田中化学研究所
4082,第一稀元素化学工業
4088,エア・ウォーター
4091,日本酸素ホールディングス
4092,日本化学工業
4093,東邦アセチレン
4094,日本化学産業
4095,日本パーカライジング
4097,高圧ガス工業
4098,チタン工業
4099,四国化成ホールディングス
4100,戸田工業
4102,丸尾カルシウム
4107,伊勢化学工業
4109,ステラ　ケミファ
4112,保土谷化学工業
4113,田岡化学工業
4114,日本触媒
4116,大日精化工業
4118,カネカ
4119,日本ピグメントホールディングス
4120,スガイ化学工業
4124,大阪油化工業
4125,三和油化工業
4151,協和キリン
4165,プレイド
4166,かっこ
4167,ココペリ
4168,ヤプリ
4169,ＥＮＥＣＨＡＮＧＥ
4170,Ｋａｉｚｅｎ　Ｐｌａｔｆｏｒｍ
4171,グローバルインフォメーション
4172,東和ハイシステム
4174,アピリッツ
4175,ｃｏｌｙ
4176,ココナラ
4177,ｉ‐ｐｌｕｇ
4178,Ｓｈａｒｉｎｇ　Ｉｎｎｏｖａｔｉｏｎｓ
4179,ジーネクスト
4180,Ａｐｐｉｅｒ　Ｇｒｏｕｐ
4182,三菱瓦斯化学
4183,三井化学
4186,東京応化工業
4187,大阪有機化学工業
4188,三菱ケミカルグループ
4189,ＫＨネオケム
4192,スパイダープラス
4193,ファブリカホールディングス
4194,ビジョナル
4196,ネオマーケティング
4197,アスマーク
4198,テンダ
4199,ワンダープラネット
4202,ダイセル
4203,住友ベークライト
4204,積水化学工業
4205,日本ゼオン
4206,アイカ工業
4208,ＵＢＥ
4212,積水樹脂
4216,旭有機材
4218,ニチバン
4220,リケンテクノス
4221,大倉工業
4222,児玉化学工業
4224,ロンシール工業
4228,積水化成品工業
4229,群栄化学工業
4231,タイガースポリマー
4234,サンエー化研
4235,ウルトラファブリックス・ホールディングス
4237,フジプレアム
4238,ミライアル
4240,クラスターテクノロジー
4241,アテクト
4242,タカギセイコー
4243,ニックス
4245,ダイキアクシス
4246,ダイキョーニシカワ
4247,ポバール興業
4248,竹本容器
4249,森六
4251,恵和
4255,ＴＨＥＣＯＯ
4256,サインド
4258,網屋
4259,エクサウィザーズ
4260,ハイブリッドテクノロジーズ
4261,アジアクエスト
4262,ニフティライフスタイル
4263,サスメド
4264,セキュア
4265,Ｉｎｓｔｉｔｕｔｉｏｎ　ｆｏｒ　ａ　Ｇｌｏｂａｌ　Ｓｏｃｉｅｔｙ
4270,ＢｅｅＸ
4272,日本化薬
4274,細谷火工
4275,カーリット
4284,ソルクシーズ
4286,ＣＬホールディングス
4287,ジャストプランニング
4288,アズジェント
4290,プレステージ・インターナショナル
4293,セプテーニ・ホールディングス
4299,ハイマックス
4301,アミューズ
4307,野村総合研究所
4308,Ｊストリーム
4310,ドリームインキュベータ
4316,ビーマップ
4317,レイ
4318,クイック
4319,ＴＡＣ
4320,ＣＥホールディングス
4323,日本システム技術
4324,電通グループ
4326,インテージホールディングス
4331,テイクアンドギヴ・ニーズ
4333,東邦システムサイエンス
4334,ユークス
4335,ＩＰＳホールディングス
4337,ぴあ
4341,西菱電機
4343,イオンファンタジー
4344,ソースネクスト
4345,シーティーエス
4346,ＮＥＸＹＺ．Ｇｒｏｕｐ
4347,ブロードメディア
4350,メディカルシステムネットワーク
4351,山田再生系債権回収総合事務所
4356,応用技術
4360,マナック・ケミカル・パートナーズ
4361,川口化学工業
4362,日本精化
4365,松本油脂製薬
4366,ダイトーケミックス
4367,広栄化学
4368,扶桑化学工業
4369,トリケミカル研究所
4370,モビルス
4371,コアコンセプト・テクノロジー
4372,ユミルリンク
4373,シンプレクス・ホールディングス
4374,ＲＯＢＯＴ　ＰＡＹＭＥＮＴ
4375,セーフィー
4376,くふうカンパニーホールディングス
4377,ワンキャリア
4378,ＣＩＮＣ
4379,Ｐｈｏｔｏｓｙｎｔｈ
4380,Ｍマート
4381,ビープラッツ
4382,ＨＥＲＯＺ
4384,ラクスル
4385,メルカリ
4386,ＳＩＧグループ
4387,ＺＵＵ
4388,エーアイ
4389,プロパティデータバンク
4390,ＩＰＳ
4391,ロジザード
4392,ＦＩＧ
4393,バンク・オブ・イノベーション
4394,エクスモーション
4395,アクリート
4396,システムサポートホールディングス
4397,チームスピリット
4398,ブロードバンドセキュリティ
4401,ＡＤＥＫＡ
4403,日油
4404,ミヨシ油脂
4406,新日本理化
4409,東邦化学工業
4410,ハリマ化成グループ
4412,サイエンスアーツ
4413,ボードルア
4414,フレクト
4415,ブロードエンタープライズ
4416,Ｔｒｕｅ　Ｄａｔａ
4417,グローバルセキュリティエキスパート
4418,ＪＤＳＣ
4419,Ｆｉｎａｔｅｘｔホールディングス
4420,イーソル
4421,ディ・アイ・システム
4422,ＶＡＬＵＥＮＥＸ
4424,Ａｍａｚｉａ
4425,Ｋｕｄａｎ
4426,パスロジ
4427,ＥｄｕＬａｂ
4428,シノプス
4429,リックソフト
4430,東海ソフト
4431,スマレジ
4432,ウイングアーク１ｓｔ
4433,ヒト・コミュニケーションズ・ホールディングス
4434,サーバーワークス
4436,ミンカブ・ジ・インフォノイド
4437,ｇｏｏｄｄａｙｓホールディングス
4438,Ｗｅｌｂｙ
4439,東名
4440,ヴィッツ
4441,トビラシステムズ
4442,バルテス・ホールディングス
4443,Ｓａｎｓａｎ
4444,インフォネット
4445,リビン・テクノロジーズ
4446,Ｌｉｎｋ－Ｕグループ
4447,ピー・ビーシステムズ
4448,ｋｕｂｅｌｌ
4449,ギフティ
4450,パワーソリューションズ
4452,花王
4461,第一工業製薬
4462,石原ケミカル
4463,日華化学
4464,ソフト９９コーポレーション
4465,ニイタカ
4471,三洋化成工業
4475,ＨＥＮＮＧＥ
4476,ＡＩ　ＣＲＯＳＳ
4477,ＢＡＳＥ
4478,フリー
4479,マクアケ
4480,メドレー
4481,ベース
4482,ウィルズ
4483,ＪＭＤＣ
4484,ランサーズ
4486,ユナイトアンドグロウ
4487,スペースマーケット
4488,ＡＩ　ｉｎｓｉｄｅ
4490,ビザスク
4491,コンピューターマネージメント
4492,ゼネテック
4493,サイバーセキュリティクラウド
4494,バリオセキュア
4495,アイキューブドシステムズ
4496,コマースＯｎｅホールディングス
4498,サイバートラスト
4499,Ｓｐｅｅｅ
4502,武田薬品工業
4503,アステラス製薬
4506,住友ファーマ
4507,塩野義製薬
4512,わかもと製薬
4516,日本新薬
4519,中外製薬
4521,科研製薬
4523,エーザイ
4524,森下仁丹
4526,理研ビタミン
4527,ロート製薬
4528,小野薬品工業
4530,久光製薬
4531,有機合成薬品工業
4534,持田製薬
4536,参天製薬
4538,扶桑薬品工業
4539,日本ケミファ
4540,ツムラ
4543,テルモ
4544,Ｈ．Ｕ．グループホールディングス
4547,キッセイ薬品工業
4548,生化学工業
4549,栄研化学
4552,ＪＣＲファーマ
4553,東和薬品
4554,富士製薬工業
4556,カイノス
4558,中京医薬品
4559,ゼリア新薬工業
4563,アンジェス
4564,オンコセラピー・サイエンス
4565,ネクセラファーマ
4568,第一三共
4569,杏林製薬
4570,免疫生物研究所
4571,ＮＡＮＯ　ＭＲＮＡ
4572,カルナバイオサイエンス
4574,大幸薬品
4575,キャンバス
4576,デ・ウエスタン・セラピテクス研究所
4577,ダイト
4578,大塚ホールディングス
4579,ラクオリア創薬
4582,シンバイオ製薬
4583,カイオム・バイオサイエンス
4584,キッズウェル・バイオ
4586,メドレックス
4587,ペプチドリーム
4588,オンコリスバイオファーマ
4591,リボミック
4592,サンバイオ
4593,ヘリオス
4594,ブライトパス・バイオ
4595,ミズホメディー
4596,窪田製薬ホールディングス
4597,ソレイジア・ファーマ
4598,Ｄｅｌｔａ－Ｆｌｙ　Ｐｈａｒｍａ
4599,ステムリム
4611,大日本塗料
4612,日本ペイントホールディングス
4613,関西ペイント
4615,神東塗料
4616,川上塗料
4617,中国塗料
4619,日本特殊塗料
4620,藤倉化成
4623,アサヒペン
4624,イサム塗料
4625,アトミクス
4626,太陽ホールディングス
4627,ナトコ
4628,エスケー化研
4629,大伸化学
4631,ＤＩＣ
4633,サカタインクス
4634,ａｒｔｉｅｎｃｅ
4635,東京インキ
4641,アルプス技研
4642,オリジナル設計
4644,イマジニア
4645,市進ホールディングス
4650,ＳＤエンターテイメント
4651,サニックスホールディングス
4657,環境管理センター
4658,日本空調サービス
4659,エイジス
4661,オリエンタルランド
4662,フォーカスシステムズ
4664,アール・エス・シー
4665,ダスキン
4666,パーク２４
4667,アイサンテクノロジー
4668,明光ネットワークジャパン
4671,ファルコホールディングス
4673,川崎地質
4674,クレスコ
4676,フジ・メディア・ホールディングス
4678,秀英予備校
4679,田谷
4680,ラウンドワン
4681,リゾートトラスト
4684,オービック
4685,菱友システムズ
4686,ジャストシステム
4687,ＴＤＣソフト
4689,ＬＩＮＥヤフー
4690,日本パレットプール
4691,ワシントンホテル
4694,ビー・エム・エル
4704,トレンドマイクロ
4705,クリップコーポレーション
4707,キタック
4709,ＩＤホールディングス
4712,ＫｅｙＨｏｌｄｅｒ
4714,リソー教育グループ
4716,日本オラクル
4718,早稲田アカデミー
4719,アルファシステムズ
4720,城南進学研究社
4722,フューチャー
4725,ＣＡＣ　Ｈｏｌｄｉｎｇｓ
4728,トーセ
4732,ユー・エス・エス
4733,オービックビジネスコンサルタント
4735,京進
4736,日本ラッド
4743,アイティフォー
4745,東京個別指導学院
4746,東計電算
4750,ダイサン
4751,サイバーエージェント
4752,昭和システムエンジニアリング
4754,トスネット
4755,楽天グループ
4760,アルファ
4761,さくらケーシーエス
4762,エックスネット
4763,クリーク・アンド・リバー社
4765,ＳＢＩグローバルアセットマネジメント
4766,ピーエイ
4767,テー・オー・ダブリュー
4768,大塚商会
4769,ＩＣ
4771,エフアンドエム
4772,ＳＭ　ＥＮＴＥＲＴＡＩＮＭＥＮＴ　ＪＡＰＡＮ
4776,サイボウズ
4777,ガーラ
4783,ＮＣＤ
4784,ＧＭＯインターネット
4792,山田コンサルティンググループ
4800,オリコン
4801,セントラルスポーツ
4809,パラカ
4811,ドリーム・アーツ
4812,電通総研
4813,ＡＣＣＥＳＳ
4814,ネクストウェア
4816,東映アニメーション
4819,デジタルガレージ
4820,イーエムシステムズ
4825,ウェザーニューズ
4826,ＣＩＪ
4828,ビジネスエンジニアリング
4829,日本エンタープライズ
4832,ＪＦＥシステムズ
4833,Ｄｅｆ　ｃｏｎｓｕｌｔｉｎｇ
4838,スペースシャワーＳＫＩＹＡＫＩホールディングス
4839,ＷＯＷＯＷ
4840,トライアイズ
4845,スカラ
4847,インテリジェント　ウェイブ
4848,フルキャストホールディングス
4849,エン・ジャパン
4875,メディシノバ・インク
4880,セルソース
4881,ファンペップ
4882,ペルセウスプロテオミクス
4883,モダリス
4884,クリングルファーマ
4885,室町ケミカル
4886,あすか製薬ホールディングス
4887,サワイグループホールディングス
4888,ステラファーマ
4889,レナサイエンス
4890,坪田ラボ
4891,ティムス
4892,サイフューズ
4893,ノイルイミューン・バイオテック
4894,クオリプス
4896,ケイファーマ
4901,富士フイルムホールディングス
4902,コニカミノルタ
4911,資生堂
4912,ライオン
4914,高砂香料工業
4917,マンダム
4918,アイビー化粧品
4919,ミルボン
4920,日本色材工業研究所
4922,コーセー
4923,コタ
4925,ハーバー研究所
4926,シーボン
4927,ポーラ・オルビスホールディングス
4928,ノエビアホールディングス
4929,アジュバンホールディングス
4931,新日本製薬
4932,アルマード
4933,Ｉ－ｎｅ
4934,プレミアアンチエイジング
4935,リベルタ
4936,アクシージア
4937,Ｗａｑｏｏ
4951,エステー
4956,コニシ
4957,ヤスハラケミカル
4958,長谷川香料
4960,ケミプロ化成
4966,上村工業
4967,小林製薬
4968,荒川化学工業
4970,東洋合成工業
4971,メック
4972,綜研化学
4973,日本高純度化学
4974,タカラバイオ
4975,ＪＣＵ
4976,東洋ドライルーブ
4977,新田ゼラチン
4978,リプロセル
4979,ＯＡＴアグリオ
4980,デクセリアルズ
4985,アース製薬
4990,昭和化学工業
4992,北興化学工業
4994,大成ラミックグループ
4996,クミアイ化学工業
4997,日本農薬
4998,フマキラー
5010,日本精蝋
5011,ニチレキグループ
5013,ユシロ
5015,ビーピー・カストロール
5016,ＪＸ金属
5017,富士石油
5018,ＭＯＲＥＳＣＯ
5019,出光興産
5020,ＥＮＥＯＳホールディングス
5021,コスモエネルギーホールディングス
5022,レボインターナショナル
5025,マーキュリー
5026,トリプルアイズ
5027,ＡｎｙＭｉｎｄ　Ｇｒｏｕｐ
5028,セカンドサイトアナリティカ
5029,サークレイス
5031,モイ
5032,ＡＮＹＣＯＬＯＲ
5033,ヌーラボ
5034,ｕｎｅｒｒｙ
5035,ＨＯＵＳＥＩ
5036,日本ビジネスシステムズ
5037,フィットワークス
5038,ｅＷｅＬＬ
5070,ドラフト
5071,ヴィス
5072,アートフォースジャパン
5074,テスホールディングス
5076,インフロニア・ホールディングス
5077,ハンズ
5078,セレコーポレーション
5079,ノバック
5101,横浜ゴム
5103,昭和ホールディングス
5105,ＴＯＹＯ　ＴＩＲＥ
5108,ブリヂストン
5110,住友ゴム工業
5121,藤倉コンポジット
5122,オカモト
5125,ファインズ
5126,ポーターズ
5129,ＦＩＸＥＲ
5130,ヒロホールディングス
5131,リンカーズ
5132,ｐｌｕｓｚｅｒｏ
5133,テリロジーホールディングス
5134,ＰＯＰＥＲ
5135,ＡＩＲ－Ｕ
5136,ｔｒｉｐｌａ
5137,スマートドライブ
5138,Ｒｅｂａｓｅ
5139,オープンワーク
5142,アキレス
5161,西川ゴム工業
5162,朝日ラバー
5184,ニチリン
5185,フコク
5186,ニッタ
5187,クリエートメディック
5189,櫻護謨
5191,住友理工
5192,三ツ星ベルト
5194,相模ゴム工業
5195,バンドー化学
5199,不二ラテックス
5201,ＡＧＣ
5202,日本板硝子
5204,石塚硝子
5208,有沢製作所
5210,日本山村硝子
5214,日本電気硝子
5216,倉元製作所
5218,オハラ
5232,住友大阪セメント
5233,太平洋セメント
5237,ノザワ
5240,ｍｏｎｏＡＩ　ｔｅｃｈｎｏｌｏｇｙ
5242,アイズ
5243,ｎｏｔｅ
5244,ｊｉｇ．ｊｐ
5246,ＥＬＥＭＥＮＴＳ
5247,ＢＴＭ
5248,テクノロジーズ
5249,あさかわシステムズ
5250,プライム・ストラテジー
5251,ウイズ・ワン
5252,日本ナレッジ
5253,カバー
5254,Ａｒｅｎｔ
5255,モンスターラボ
5256,Ｆｕｓｉｃ
5257,ノバシステム
5258,トランザクション・メディア・ネットワークス
5259,ＢＢＤイニシアティブ
5261,リソルホールディングス
5262,日本ヒューム
5268,旭コンクリート工業
5269,日本コンクリート工業
5271,トーヨーアサノ
5273,三谷セキサン
5279,日本興業
5280,ヨシコン
5282,ジオスター
5283,高見澤
5284,ヤマウホールディングス
5285,ヤマックス
5287,イトーヨーギョー
5288,アジアパイルホールディングス
5290,ベルテクスコーポレーション
5301,東海カーボン
5302,日本カーボン
5304,ＳＥＣカーボン
5310,東洋炭素
5331,ノリタケ
5332,ＴＯＴＯ
5333,日本碍子
5334,日本特殊陶業
5337,ダントーホールディングス
5341,ＡＳＡＨＩ　ＥＩＴＯホールディングス
5344,ＭＡＲＵＷＡ
5351,品川リフラクトリーズ
5352,黒崎播磨
5355,日本坩堝
5356,美濃窯業
5357,ヨータイ
5363,東京窯業
5367,ニッカトー
5368,日本インシュレーション
5380,新東
5381,Ｍｉｐｏｘ
5384,フジミインコーポレーテッド
5386,鶴弥
5388,クニミネ工業
5391,エーアンドエーマテリアル
5393,ニチアス
5401,日本製鉄
5406,神戸製鋼所
5408,中山製鋼所
5410,合同製鐵
5411,ＪＦＥホールディングス
5423,東京製鐵
5440,共英製鋼
5444,大和工業
5445,東京鐵鋼
5446,北越メタル
5449,大阪製鐵
5451,淀川製鋼所
5458,高砂鐵工
5461,中部鋼鈑
5463,丸一鋼管
5464,モリ工業
5471,大同特殊鋼
5476,日本高周波鋼業
5480,日本冶金工業
5482,愛知製鋼
5484,東北特殊鋼
5491,日本金属
5525,フロンティアホールディングス
5527,ｐｒｏｐｅｒｔｙ　ｔｅｃｈｎｏｌｏｇｉｅｓ
5528,フロンティアハウス
5531,中山不動産
5532,リアルゲイト
5533,エリッツホールディングス
5534,エンゼルグループ
5535,ミガロホールディングス
5536,京橋アートレジデンス
5537,ＡｌｂａＬｉｎｋ
5541,大平洋金属
5542,新報国マテリアル
5563,新日本電工
5570,ジェノバ
5571,エキサイトホールディングス
5572,Ｒｉｄｇｅ－ｉ
5573,働楽ホールディングス
5574,ＡＢＥＪＡ
5575,Ｇｌｏｂｅｅ
5576,オービーシステム
5577,アイデミー
5578,ＡＲアドバンストテクノロジ
5580,プロディライト
5581,カイテクノロジー
5582,グリッド
5584,Ｓｔｒａｗｂｅｒｒｙ　ｊａｍｓ
5586,Ｌａｂｏｒｏ．ＡＩ
5587,インバウンドプラットフォーム
5588,ファーストアカウンティング
5589,オートサーバー
5590,ネットスターズ
5591,ＡＶＩＬＥＮ
5592,くすりの窓口
5594,エム・デー・ビー
5595,ＱＰＳ研究所
5596,アウトルックコンサルティング
5597,ブルーイノベーション
5598,Ｙｏｔｔａｖｉａｓ
5599,Ｓ＆Ｊ
5602,栗本鐵工所
5603,虹技
5609,日本鋳造
5612,日本鋳鉄管
5616,雨風太陽
5617,ウィル・ドゥ
5618,ナイル
5619,マーソ
5620,エスピーオー
5621,ヒューマンテクノロジーズ
5622,ワンビ
5631,日本製鋼所
5632,三菱製鋼
5644,メタルアート
5658,日亜鋼業
5659,日本精線
5660,神鋼鋼線工業
5695,パウダーテック
5697,サンユウ
5698,エンビプロ・ホールディングス
5699,イボキン
5702,大紀アルミニウム工業所
5703,日本軽金属ホールディングス
